ID,Sta,cast,nisk,qc,YYYY,MM,DD,TIME,Lat,Long,btm,Press,CTD T,CTD Salt,Bot Sal,qc,CTD O2,Bot O2,qc,DIC,qc,TA,qc,pH TOT,pH Temp,qc,CO3,qc,Sil,Amm,Nitra,Nitri,PO4,qc,Line,PO4 4 co2sys,SIL 4 co2sys,nut flag,TA 4 co2sys,TA flag,DIC 4 co2sys,DIC flag,Blanc1,pH TOT in situ,pCO2,CO2,HCO3,CO3,Calc,Arag,Revelle Factor,Blanc2,pH TOT in situ,pCO2,CO2,HCO3,CO3,Calc,Arag,Revelle Factor
660102,66,1,2,2,2016,05,26,05:20:08,41.718,-125.657,2859,1999.3,1.92,34.604,-999.000,9,66.3,66.0,2,2382.8,2,2423.7,2,7.4180,25.0,2,62.65,3,167.68,0.02,41.00,0.06,2.94,2,9,2.94,167.68,2,2423.7,2,2382.8,2,,7.673,823.50,47.99,2280.59,54.21,0.86,0.56,19.15,,7.673,823.50,47.99,2280.59,54.21,0.86,0.56,19.15
660103,66,1,3,2,2016,05,26,05:31:33,41.718,-125.657,2859,1499.4,2.53,34.539,-999.000,9,37.1,-999,9,2385.2,2,2406.9,2,7.3547,25.0,2,52.42,4,151.07,0.03,42.80,0.04,2.98,2,9,2.98,151.07,2,2406.9,2,2385.2,2,,7.622,983.38,56.04,2281.49,47.67,0.84,0.54,19.30,,7.622,983.38,56.04,2281.49,47.67,0.84,0.54,19.30
660104,66,1,4,2,2016,05,26,05:42:51,41.718,-125.657,2859,999.4,3.61,34.415,-999.000,9,12.1,11.7,2,2372.2,2,2374.2,2,7.2995,25.0,2,47.27,3,123.34,0.00,43.54,0.03,3.26,2,9,3.26,123.34,2,2374.2,2,2372.2,2,,7.562,1195.95,65.53,2265.22,41.45,0.81,0.52,19.05,,7.562,1195.95,65.53,2265.22,41.45,0.81,0.52,19.05
660105,66,1,5,2,2016,05,26,05:47:55,41.718,-125.657,2859,850.2,4.10,34.334,-999.000,9,8.9,8.2,2,2360.4,2,2355.0,2,7.2858,25.0,2,46.41,3,109.85,0.01,43.20,0.03,3.26,2,9,3.26,109.85,2,2355.0,2,2360.4,2,,7.537,1285.56,69.23,2251.98,39.19,0.79,0.50,18.87,,7.537,1285.56,69.23,2251.98,39.19,0.79,0.50,18.87
660106,66,1,6,2,2016,05,26,05:56:52,41.718,-125.657,2859,499.8,5.16,34.133,-999.000,9,25.9,25.0,2,2315.9,2,2314.4,2,7.2925,25.0,2,45.19,2,81.33,0.01,41.16,0.02,3.06,2,9,3.06,81.33,2,2314.4,2,2315.9,2,,7.552,1279.40,66.37,2209.24,40.29,0.88,0.56,18.81,,7.552,1279.40,66.37,2209.24,40.29,0.88,0.56,18.81
660107,66,1,7,2,2016,05,26,06:01:55,41.718,-125.657,2859,400.2,5.82,34.082,-999.000,9,43.5,-999,9,2291.6,2,2299.3,2,7.3209,25.0,2,45.70,3,68.43,0.03,39.03,0.02,2.83,2,9,2.83,68.43,2,2299.3,2,2291.6,2,,7.579,1208.78,61.29,2187.07,43.25,0.96,0.61,18.85,,7.579,1208.78,61.29,2187.07,43.25,0.96,0.61,18.85
660108,66,1,8,2,2016,05,26,06:06:31,41.718,-125.657,2859,299.8,6.55,34.019,-999.000,9,69.6,70.7,2,2257.9,2,2281.9,2,7.3641,25.0,2,52.94,2,54.15,0.02,35.82,0.05,2.40,2,9,2.40,54.15,2,2281.9,2,2257.9,2,,7.631,1075.66,53.17,2155.71,49.02,1.11,0.70,18.76,,7.631,1075.66,53.17,2155.71,49.02,1.11,0.70,18.76
660109,66,1,9,2,2016,05,26,06:11:09,41.718,-125.657,2859,201.0,7.49,33.883,-999.000,9,122.6,-999,9,2200.9,2,2260.0,2,7.4906,25.0,2,67.93,2,36.95,0.02,29.64,0.01,1.96,2,9,1.96,36.95,2,2260.0,2,2200.9,2,,7.743,822.88,39.40,2097.96,63.53,1.47,0.93,17.87,,7.743,822.88,39.40,2097.96,63.53,1.47,0.93,17.87
660110,66,1,10,2,2016,05,26,06:14:29,41.718,-125.657,2859,150.0,8.19,33.714,-999.000,9,149.7,148.0,2,2176.0,2,2246.6,2,7.5272,25.0,2,72.53,3,29.91,0.22,26.77,0.03,1.91,2,9,1.91,29.91,2,2246.6,2,2176.0,2,,7.775,763.69,35.73,2071.37,68.90,1.61,1.02,17.39,,7.775,763.69,35.73,2071.37,68.90,1.61,1.02,17.39
660111,66,1,11,2,2016,05,26,06:17:05,41.718,-125.657,2859,125.3,8.90,33.566,-999.000,9,167.1,-999,9,2161.2,2,2233.7,2,7.5429,25.0,2,73.61,2,24.81,0.02,24.81,0.03,1.71,2,9,1.71,24.81,2,2233.7,2,2161.2,2,,7.775,764.92,34.98,2056.31,69.92,1.64,1.04,17.25,,7.775,764.92,34.98,2056.31,69.92,1.64,1.04,17.25
660112,66,1,12,2,2016,05,26,06:19:41,41.718,-125.657,2859,100.0,9.68,33.276,-999.000,9,176.7,177.4,2,2122.2,2,2217.7,2,7.6111,25.0,2,84.27,2,18.35,0.01,19.83,0.04,1.50,2,9,1.50,18.35,2,2217.7,2,2122.2,2,,7.841,648.34,28.93,2011.77,81.50,1.93,1.22,16.20,,7.841,648.34,28.93,2011.77,81.50,1.93,1.22,16.20
660113,66,1,13,2,2016,05,26,06:22:01,41.718,-125.657,2859,79.8,10.33,32.758,-999.000,9,236.7,-999,9,2048.5,2,2191.8,2,7.7531,25.0,2,110.07,2,8.17,0.03,9.20,0.08,0.88,2,9,0.88,8.17,2,2191.8,2,2048.5,2,,7.978,454.92,19.93,1920.55,108.02,2.57,1.63,14.00,,7.978,454.92,19.93,1920.55,108.02,2.57,1.63,14.00
